Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
46	-2.0002e-002	-0.2	3.0002e-002	36526
30	-1.0002e-002	-0.11	3.0002e-002	3.6499e+005
29	-2.15e-006	-0.11	3.0002e-002	3.7637e+005
52	-5.0002e-002	-0.14	3.0002e-002	384.91
54	-2.15e-006	-0.15	3.0002e-002	1.6582e+005
58	-4.0002e-002	-0.1	3.0002e-002	1924.6
60	-4.0002e-002	-0.18	3.0002e-002	1924.6
50	-3.0002e-002	-0.13	3.0002e-002	2.501e+005
63	-2.15e-006	-0.14	3.0002e-002	1924.6
42	-2.0002e-002	-0.1	3.0002e-002	21781
71	9.9979e-003	-0.14	3.0002e-002	384.91
61	-5.0002e-002	-0.18	3.0002e-002	384.91
26	-1.0002e-002	-0.13	3.0002e-002	2.5214e+005
27	-2.15e-006	-0.13	3.0002e-002	2.6967e+005
39	-2.0002e-002	-9.0001e-002	3.0002e-002	5.0822e+005
28	-2.15e-006	-0.12	3.0002e-002	5.7612e+005
59	-5.0002e-002	-0.1	3.0002e-002	384.91
88	-5.0002e-002	-1.0001e-002	3.0002e-002	4.5428e+005
89	-5.0002e-002	-6.e-007	3.0002e-002	4.52e+005
94	-6.6002e-002	3.0001e-002	1.8002e-002	3.3688e+005
93	-5.8002e-002	3.0001e-002	2.4002e-002	3.6445e+005
100	-0.1	1.0001e-002	1.55e-006	75442
99	-0.1	2.0001e-002	1.5e-006	4.1367e+005
87	-5.0002e-002	-2.0001e-002	3.0002e-002	4.6117e+005
86	-5.0002e-002	-3.0001e-002	3.0002e-002	4.8435e+005
91	-5.0002e-002	1.9999e-002	3.0002e-002	4.613e+005
92	-5.0002e-002	3.0001e-002	3.0002e-002	4.8447e+005
102	-9.e-002	6.e-007	1.55e-006	83635
101	-9.e-002	1.0001e-002	1.55e-006	82986
105	-0.1	-2.0001e-002	1.5e-006	4.1374e+005
104	-0.1	-1.0001e-002	1.55e-006	75482
111	-0.13	1.0001e-002	1.55e-006	1.1425e+005
112	-0.12	1.0001e-002	1.55e-006	56809
119	-0.13	-1.0001e-002	-1.9998e-002	2.5392e+005
118	-0.13	-6.e-007	-1.9998e-002	2.539e+005
121	-0.13	-3.0001e-002	-1.9999e-002	2.5919e+005
122	-0.122	-3.0001e-002	-2.5999e-002	1.6131e+005
96	-8.2002e-002	3.0001e-002	6.0016e-003	3.9113e+005
95	-7.4002e-002	3.0001e-002	1.2002e-002	3.1261e+005
103	-9.e-002	-9.9994e-003	1.55e-006	83027
113	-0.12	2.0001e-002	1.5e-006	8.806e+005
114	-0.13	2.0001e-002	1.5e-006	1.6004e+006
124	-0.106	-3.0001e-002	-3.7999e-002	1.3226e+006
125	-9.8002e-002	-3.0001e-002	-4.3999e-002	1.8978e+006
135	-0.13	2.0001e-002	-4.9998e-002	8853.
134	-0.12	2.0001e-002	-4.9998e-002	20400
120	-0.13	-2.0001e-002	-1.9998e-002	3.5776e+005
137	-0.15	2.0001e-002	-4.9998e-002	384.91
136	-0.14	2.0001e-002	-4.9998e-002	1924.6
139	-2.0002e-002	-2.0001e-002	3.0002e-002	2.2376e+006
141	-6.6002e-002	-3.0001e-002	1.8002e-002	3.3691e+005
140	-5.8002e-002	-3.0001e-002	2.4002e-002	3.6449e+005
98	-9.0002e-002	2.0001e-002	1.5e-006	4.405e+005
127	-9.0002e-002	-2.0001e-002	-4.9998e-002	7.6914e+005
126	-9.0002e-002	-3.0001e-002	-4.9999e-002	1.3207e+006
142	-7.4002e-002	-3.0001e-002	1.2002e-002	3.1264e+005
123	-0.114	-3.0001e-002	-3.1999e-002	7.4382e+005
115	-0.13	2.0001e-002	-9.9985e-003	1.0062e+006
116	-0.13	2.0001e-002	-1.9998e-002	3.5762e+005
144	-9.0002e-002	-3.0001e-002	1.55e-006	4.1272e+005
143	-8.2002e-002	-3.0001e-002	6.0016e-003	3.9114e+005
145	-9.0002e-002	-2.0001e-002	1.5e-006	4.4063e+005
90	-5.0002e-002	9.9994e-003	3.0002e-002	4.5434e+005
97	-9.0002e-002	3.0001e-002	1.55e-006	4.1275e+005
106	-0.11	-2.0001e-002	1.5e-006	9.3343e+005
107	-0.12	-2.0001e-002	1.5e-006	8.8075e+005
110	-0.13	6.e-007	1.55e-006	1.2649e+005
132	-0.1	2.0001e-002	-4.9998e-002	57352
