Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
304	-2.0002e-002	8.0001e-002	3.0002e-002	1.0996e+006
305	-2.0002e-002	9.0001e-002	3.0002e-002	5.0822e+005
315	0.13	6.e-007	3.0001e-002	7.4336e+005
326	3.2939e-002	6.e-007	-2.1763e-002	-83980
325	4.1763e-002	6.e-007	-1.7057e-002	12586
339	0.21	-6.e-002	3.0001e-002	36567
338	0.21	-5.0001e-002	3.0001e-002	57352
342	0.21	-9.e-002	3.0001e-002	1924.6
341	0.21	-8.0001e-002	3.0001e-002	8853.
345	0.2	-6.e-007	3.0001e-002	27280
347	0.2	1.9999e-002	3.0001e-002	93159
346	0.2	1.0001e-002	3.0002e-002	1.4642e+005
359	9.9979e-003	3.0001e-002	3.e-002	384.91
360	-1.0002e-002	2.0001e-002	3.e-002	1.0926e+006
361	-2.15e-006	2.0001e-002	3.0002e-002	1.1161e+006
309	-5.0002e-002	0.1	3.0002e-002	384.91
308	-4.0002e-002	0.1	3.0002e-002	1924.6
328	0.17	1.0001e-002	3.0002e-002	5.5366e+005
362	-2.15e-006	1.0001e-002	3.0002e-002	1.2743e+006
363	9.9979e-003	1.0001e-002	3.0002e-002	1.0879e+006
316	0.12117	6.e-007	2.5296e-002	1.0651e+006
306	-3.0002e-002	9.0001e-002	3.0002e-002	5.0818e+005
307	-3.0002e-002	0.1	3.0002e-002	4.0908e+005
348	0.21	2.0001e-002	3.0001e-002	73895
329	0.16	-1.0001e-002	3.0002e-002	6.1135e+005
330	0.17	-1.0001e-002	3.0002e-002	2.9454e+005
335	0.21	-2.0001e-002	3.0001e-002	73904
324	5.0586e-002	6.e-007	-1.2351e-002	1.1323e+005
354	0.21	8.0001e-002	3.0001e-002	8853.
355	0.21	9.e-002	3.0001e-002	1924.6
331	0.18	-1.0001e-002	3.0002e-002	1.4049e+005
332	0.19	-1.0001e-002	3.0002e-002	87375
356	0.21	0.1	3.0001e-002	384.91
357	-5.0002e-002	3.0001e-002	-5.9998e-002	2.0072e+006
351	0.21	5.0001e-002	3.0001e-002	57352
340	0.21	-7.0001e-002	3.0001e-002	20400
320	8.588e-002	6.e-007	6.4721e-003	5.5655e+005
310	-2.2e-006	6.e-007	3.0002e-002	384.91
317	0.11235	6.e-007	2.059e-002	9.3183e+005
323	5.941e-002	6.e-007	-7.6456e-003	2.1794e+005
352	0.21	6.e-002	3.0001e-002	36567
353	0.21	7.0001e-002	3.0001e-002	20400
334	0.2	-2.0001e-002	3.0001e-002	93148
333	0.2	-1.0001e-002	3.0002e-002	1.1509e+005
344	0.24	-6.e-007	7.0001e-002	7659.3
343	0.21	-0.1	3.0001e-002	384.91
374	-2.15e-006	0.12	3.0002e-002	5.7612e+005
375	-2.15e-006	0.13	3.0002e-002	2.6967e+005
382	-1.0002e-002	0.17	3.0002e-002	89703
383	-1.0002e-002	0.18	3.0002e-002	55923
405	-4.0002e-002	3.0001e-002	-5.9999e-002	7.5615e+005
369	-3.0002e-002	0.11	3.0002e-002	3.6742e+005
408	-2.0002e-002	0.11	3.0002e-002	3.7544e+005
400	0.20846	0.11231	3.0002e-002	1589.9
401	0.21231	0.12154	3.0002e-002	384.91
409	-1.0002e-002	9.0001e-002	3.0002e-002	4.9532e+005
410	-2.15e-006	9.0001e-002	3.0002e-002	5.1753e+005
376	-1.0002e-002	0.13	3.0002e-002	2.5214e+005
371	-1.0002e-002	0.1	3.0002e-002	4.1185e+005
372	-1.0002e-002	0.11	3.0002e-002	3.6499e+005
378	-1.0002e-002	0.15	3.0002e-002	1.6181e+005
379	-2.15e-006	0.15	3.0002e-002	1.6582e+005
381	-2.15e-006	0.17	3.0002e-002	99875
392	0.18154	4.7693e-002	2.0002e-002	1.7975e+005
393	0.18538	5.6924e-002	2.0002e-002	1.4049e+005
366	-4.0002e-002	6.0001e-002	3.0002e-002	1924.6
365	-3.0002e-002	6.0001e-002	3.0002e-002	8853.
373	-2.15e-006	0.11	3.0002e-002	3.7637e+005
406	-8.0002e-002	3.0001e-002	-5.9999e-002	8.0453e+005
367	-5.0002e-002	6.0001e-002	3.0002e-002	384.91
380	-2.15e-006	0.16	3.0002e-002	2.2351e+005
386	0.14	-1.0001e-002	3.0002e-002	1.3481e+006
377	-1.0002e-002	0.14	3.0002e-002	1.911e+005
396	0.19692	8.4616e-002	2.0002e-002	50423
397	0.20077	9.3847e-002	2.0002e-002	29638
402	0.15	-1.0001e-002	3.0002e-002	1.09e+006
407	-2.15e-006	8.0001e-002	3.0002e-002	1.0821e+006
411	-2.0002e-002	0.14	3.0002e-002	8212.3
412	-3.0002e-002	0.14	3.0002e-002	1.8887e+005
414	-2.0002e-002	0.15	3.0002e-002	1.6648e+005
415	-2.0002e-002	0.16	3.0002e-002	2.2144e+005
413	-3.0002e-002	0.15	3.0002e-002	1.6331e+005
417	-3.0002e-002	0.17	3.0002e-002	88383
416	-2.0002e-002	0.17	3.0002e-002	97712
418	-3.0002e-002	0.18	3.0002e-002	54450
419	-2.0002e-002	0.18	3.0002e-002	4810.8
364	-2.0002e-002	6.0001e-002	3.0002e-002	20400
420	-1.0002e-002	0.19	3.0002e-002	40930
370	-2.0002e-002	0.1	3.0002e-002	21781
388	0.17	2.0001e-002	3.0002e-002	2.8613e+005
389	0.17	2.0001e-002	2.0002e-002	2.9827e+005
403	0.17	-2.0001e-002	3.0002e-002	2.9077e+005
421	0.17	-2.0001e-002	2.0002e-002	3.0268e+005
422	-4.0002e-002	3.6001e-002	-6.7999e-002	5.8619e+005
391	0.17769	3.8462e-002	2.0002e-002	2.2363e+005
399	0.20846	0.11231	2.0002e-002	1204.8
404	0.19	1.0001e-002	3.0002e-002	2.1e+005
390	0.17384	2.9232e-002	2.0002e-002	2.7213e+005
423	-8.0002e-002	3.6001e-002	-6.7999e-002	8.7155e+005
394	0.18923	6.6155e-002	2.0002e-002	1.0585e+005
395	0.19307	7.5385e-002	2.0002e-002	75827
387	0.18	1.0001e-002	3.0002e-002	3.9599e+005
368	-2.15e-006	7.0001e-002	3.0002e-002	6.5414e+005
384	-2.15e-006	0.18	3.0002e-002	1924.6
385	9.9979e-003	0.18	3.0002e-002	384.91
398	0.20461	0.10308	2.0002e-002	13472
433	0.17381	-2.9247e-002	2.0002e-002	2.7214e+005
475	-3.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
476	-2.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
455	-5.0002e-002	4.8001e-002	-8.3998e-002	1.9188e+006
451	-4.0002e-002	4.8001e-002	-8.3999e-002	8.4623e+005
443	-4.0002e-002	4.2001e-002	-7.5999e-002	6.2632e+005
425	-2.15e-006	0.1	3.0002e-002	1924.6
446	9.9979e-003	0.1	3.0002e-002	384.91
456	-5.0002e-002	4.8001e-002	-9.3998e-002	1.1159e+006
460	-8.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
459	-7.0002e-002	5.8001e-002	-9.3998e-002	4.6637e+005
453	-2.0002e-002	0.2	3.0002e-002	36526
465	-2.0002e-002	0.21	3.0002e-002	12058
467	-1.0002e-002	0.22	3.0002e-002	15268
